journal,type,items,blogs,facebook,news,policies,twitter,wikipedia
ATOMIC DATA AND NUCLEAR DATA TABLES,closed,117,0,2,0,0,4,1
INFANT BEHAVIOR & DEVELOPMENT,closed,402,13,44,16,11,197,2
ERGONOMICS,closed,799,14,62,33,15,515,8
WORLD POLITICS,closed,91,19,12,12,6,76,6
CLINICAL BIOCHEMISTRY,closed,1656,13,68,22,10,625,13
THEORETICAL AND APPLIED CLIMATOLOGY,closed,1664,191,129,13,24,312,5
ZEITSCHRIFT FUR DIE NEUTESTAMENTLICHE WISSENSCHAFT UND DIE KUNDE DER ALTEREN KIRCHE,closed,61,0,0,0,0,1,0
TRANSPORT,closed,95,0,0,0,0,2,0
ATOMIC ENERGY,closed,946,2,0,1,0,16,1
AGRICULTURAL AND FOREST METEOROLOGY,closed,1389,160,139,24,14,359,5
PHYSICIAN AND SPORTSMEDICINE,closed,364,16,70,16,6,237,8
PROGRESS IN HISTOCHEMISTRY AND CYTOCHEMISTRY,closed,21,0,1,0,1,4,1
JOURNAL OF ENGINEERING MECHANICS,closed,1088,0,9,1,0,21,4
NATURE COMMUNICATIONS,closed,20,1,3,6,0,16,1
JOURNAL OF THE KOREAN MATHEMATICAL SOCIETY,closed,23,0,0,0,0,0,0
RESOURCE GEOLOGY,closed,113,0,1,0,0,4,0
KNOWLEDGE MANAGEMENT RESEARCH & PRACTICE,closed,263,1,10,3,1,53,1
INTERNATIONAL JOURNAL OF ENGINE RESEARCH,closed,380,25,9,3,1,11,0
JOURNAL OF PROCESS CONTROL,closed,873,0,1,1,0,29,4
THEATRE RESEARCH INTERNATIONAL,closed,103,0,2,0,1,36,1
JOURNAL OF PSYCHOPHARMACOLOGY,closed,677,81,252,86,23,520,47
PEDIATRIC EMERGENCY CARE,closed,1350,154,574,28,32,1165,10
ARDEOLA-INTERNATIONAL JOURNAL OF ORNITHOLOGY,closed,108,7,38,4,0,61,4
EDUCATIONAL MEASUREMENT-ISSUES AND PRACTICE,closed,99,1,6,3,1,41,1
JOURNAL OF INTERFERON AND CYTOKINE RESEARCH,closed,327,4,14,9,0,107,1
BRITISH JOURNAL OF SOCIOLOGY,closed,199,63,30,15,9,173,6
PERSPECTIVES IN PLANT ECOLOGY EVOLUTION AND SYSTEMATICS,closed,247,6,27,8,0,149,4
JOURNAL OF PEASANT STUDIES,closed,298,24,125,26,35,187,9
STUDIES IN HISTORY AND PHILOSOPHY OF SCIENCE,closed,310,12,56,4,1,116,7
EXPERIMENTAL MECHANICS,closed,760,1,2,3,0,9,5
INTERNATIONAL JOURNAL OF GENERAL SYSTEMS,closed,287,4,4,1,0,26,2
CLIMATIC CHANGE,closed,999,503,234,118,125,737,22
SURGEON-JOURNAL OF THE ROYAL COLLEGES OF SURGEONS OF EDINBURGH AND IRELAND,closed,352,12,25,5,1,128,6
PAKISTAN JOURNAL OF ZOOLOGY,closed,37,0,0,0,0,0,0
ACTA PROTOZOOLOGICA,closed,2,0,0,0,0,0,0
HEPATOBILIARY SURGERY AND NUTRITION,closed,17,0,0,0,0,3,0
ZEITSCHRIFT FUR SLAWISTIK,closed,166,0,0,0,0,0,0
EDUCATIONAL MANAGEMENT ADMINISTRATION & LEADERSHIP,closed,333,2,0,2,15,149,0
CHEMISTRY & BIODIVERSITY,closed,1248,5,36,10,2,274,9
PUBLIC HEALTH NURSING,closed,384,8,19,6,9,203,3
ANNALS OF PLASTIC SURGERY,closed,2098,7,101,23,16,1598,9
PLANT AND SOIL,closed,2317,71,74,33,11,856,11
NEUROPSYCHOLOGICAL REHABILITATION,closed,264,12,27,16,4,127,0
PROTEOMICS CLINICAL APPLICATIONS,closed,388,6,26,40,0,289,4
NONPROFIT MANAGEMENT & LEADERSHIP,closed,182,2,6,14,5,77,0
NATURE,closed,2480,1881,1850,2127,171,2468,651
PAPERS IN PALAEONTOLOGY,closed,89,10,18,11,0,88,67
CHINA INFORMATION,closed,82,10,64,3,1,69,4
CEA CRITIC,closed,150,0,0,0,0,7,0
DEVELOPING ECONOMIES,closed,60,0,2,0,2,49,1
INTERNATIONAL JOURNAL OF COAL PREPARATION AND UTILIZATION,closed,190,0,0,0,0,1,1
AUSTRALIAN JOURNAL OF ANTHROPOLOGY,closed,141,0,10,3,9,31,4
MARINE GEOPHYSICAL RESEARCH,closed,145,0,0,0,0,76,2
POLICE QUARTERLY,closed,122,11,9,16,11,92,4
NURSING PHILOSOPHY,closed,150,5,17,0,2,97,0
AMERICAN JOURNAL OF PRIMATOLOGY,closed,572,50,117,50,7,472,32
JOURNAL OF PLANKTON RESEARCH,closed,56,1,34,0,0,35,0
JOURNAL OF STATISTICAL COMPUTATION AND SIMULATION,closed,1165,5,4,3,1,110,4
JOURNAL OF HYDROLOGY,closed,4443,60,100,62,59,1518,22
TRANSPLANT INFECTIOUS DISEASE,closed,921,8,31,8,12,357,3
COLLOIDS AND SURFACES A-PHYSICOCHEMICAL AND ENGINEERING ASPECTS,closed,5149,7,31,19,0,146,9
CRYSTAL RESEARCH AND TECHNOLOGY,closed,812,1,0,0,0,90,2
INFECTIOUS DISEASES,closed,399,2,21,4,6,172,4
SCIENTIA FORESTALIS,closed,5,0,0,0,0,0,0
JOURNAL OF THE INSTITUTE OF BREWING,closed,223,4,7,1,0,26,3
BARIATRIC NURSING AND SURGICAL PATIENT CARE,closed,25,0,0,0,1,1,0
ACTA BIOMATERIALIA,closed,2797,59,131,335,4,902,29
BIOMOLECULAR NMR ASSIGNMENTS,closed,355,1,3,2,0,58,4
IMAGING SCIENCE JOURNAL,closed,325,0,1,0,0,2,0
NEUROCHIRURGIE,closed,409,1,10,1,0,63,1
KOREAN JOURNAL OF METALS AND MATERIALS,closed,801,0,0,0,0,0,0
JOURNAL OF ASTRONOMICAL TELESCOPES INSTRUMENTS AND SYSTEMS,closed,48,2,1,1,0,4,0
EARLY CHILD DEVELOPMENT AND CARE,closed,173,35,9,4,2,34,1
ANIMAL REPRODUCTION,closed,3,0,0,0,0,0,0
SEMINARS IN DIALYSIS,closed,540,20,43,9,5,203,2
CRIMINAL BEHAVIOUR AND MENTAL HEALTH,closed,193,8,93,7,7,180,1
MULTIMEDIA TOOLS AND APPLICATIONS,closed,4581,5,23,6,3,134,14
SIMULATION MODELLING PRACTICE AND THEORY,closed,641,0,10,0,0,59,1
FOLIA MORPHOLOGICA,closed,51,0,3,0,0,6,0
EARTH SCIENCES HISTORY,closed,69,0,1,0,1,0,3
JOURNAL OF SPACECRAFT AND ROCKETS,closed,847,1,6,6,0,23,4
INTERNATIONAL JOURNAL OF HEALTH SERVICES,closed,268,21,18,26,5,108,3
REVIEW OF FINANCIAL STUDIES,closed,438,17,11,37,37,154,5
MOLECULAR MICROBIOLOGY,closed,564,14,38,27,1,405,14
Annual Review of Virology,closed,104,11,12,5,0,64,10
JACC-CARDIOVASCULAR INTERVENTIONS,closed,387,15,107,178,3,314,1
SCANDINAVIAN JOURNAL OF THE OLD TESTAMENT,closed,118,1,0,0,0,8,3
CELL AND TISSUE BANKING,closed,422,3,7,3,3,67,2
AMERICAN PSYCHOLOGIST,closed,321,53,40,41,19,175,18
PROBUS,closed,30,0,1,0,0,1,0
ASIAN JOURNAL OF MATHEMATICS,closed,44,0,0,0,0,0,0
INTERNATIONAL JOURNAL OF ELECTROCHEMICAL SCIENCE,closed,72,0,0,0,0,0,0
RESEARCH PAPERS IN EDUCATION,closed,165,1,6,6,12,58,0
ARCHAEOLOGICAL PROSPECTION,closed,157,2,18,4,0,49,2
NATURAL LANGUAGE & LINGUISTIC THEORY,closed,184,0,8,1,0,53,1
AUSTRALASIAN JOURNAL OF DERMATOLOGY,closed,606,8,55,28,11,215,6
JOURNAL OF DERMATOLOGICAL TREATMENT,closed,723,8,64,31,16,317,8
EUROPEAN JOURNAL OF ORGANIC CHEMISTRY,closed,5336,40,250,78,1,1778,19
AMERICAN JOURNAL OF ARCHAEOLOGY,closed,123,5,3,3,0,25,6
URBAN WATER JOURNAL,closed,422,0,12,1,3,44,0
ALGEBRA AND LOGIC,closed,280,0,0,0,0,1,0
AMPHIBIA-REPTILIA,closed,301,9,44,7,1,52,13
INFANT MENTAL HEALTH JOURNAL,closed,314,6,160,8,11,242,0
INTERNATIONAL JOURNAL OF QUANTUM INFORMATION,closed,336,2,0,3,0,14,0
ACS MACRO LETTERS,closed,1625,26,52,26,1,381,14
BIOLOGICAL TRACE ELEMENT RESEARCH,closed,1909,17,112,18,10,398,10
INTERNATIONAL JOURNAL OF ENGINEERING SCIENCE,closed,735,0,0,1,0,17,1
ENGLISH,closed,99,1,0,0,0,41,2
MINERVA MEDICA,closed,15,0,3,3,0,6,0
SCIENCE OF COMPUTER PROGRAMMING,closed,444,1,6,0,0,136,4
SOCIAL SCIENCE INFORMATION SUR LES SCIENCES SOCIALES,closed,174,1,5,3,4,99,3
IZVESTIYA ATMOSPHERIC AND OCEANIC PHYSICS,closed,808,5,2,2,1,28,2
INTERNATIONAL JOURNAL OF NEUROSCIENCE,closed,914,14,53,32,4,399,7
SOLID-STATE ELECTRONICS,closed,1481,3,3,2,0,50,1
JOURNAL OF GLACIOLOGY,closed,4,0,0,0,0,3,0
NODEA-NONLINEAR DIFFERENTIAL EQUATIONS AND APPLICATIONS,closed,157,0,0,0,0,0,0
JOURNAL OF ENVIRONMENTAL PSYCHOLOGY,closed,463,67,44,55,30,277,11
JOURNAL OF BURN CARE & RESEARCH,closed,821,10,483,10,11,679,6
IEEE TRANSACTIONS ON INSTRUMENTATION AND MEASUREMENT,closed,2122,0,7,4,0,25,1
INTERNATIONAL JOURNAL OF COMPUTER MATHEMATICS,closed,1026,0,4,0,2,40,1
WOMENS HISTORY REVIEW,closed,300,8,13,9,0,106,15
MAMMALIA,closed,394,7,15,5,0,44,18
CRYPTOGAMIE BRYOLOGIE,closed,213,0,3,0,1,32,2
JOURNAL OF AEROSOL MEDICINE AND PULMONARY DRUG DELIVERY,closed,232,1,15,5,5,98,3
NEUROIMAGE,closed,3456,205,321,190,11,2496,62
CURRENT ISSUES IN MOLECULAR BIOLOGY,closed,33,0,0,0,0,24,1
JOURNAL OF THE SOCIETY OF ARCHIVISTS,closed,9,0,0,0,0,2,1
SEXUAL DEVELOPMENT,closed,155,1,7,1,0,57,3
NEW GERMAN CRITIQUE,closed,180,4,2,0,0,14,4
JOURNAL OF HEAD TRAUMA REHABILITATION,closed,456,30,252,45,21,425,3
WASHINGTON QUARTERLY,closed,280,14,54,25,19,164,8
JOURNAL OF FISH BIOLOGY,closed,1753,67,840,60,36,1373,65
PACIFIC JOURNAL OF MATHEMATICS,closed,188,0,0,0,0,2,0
ANDROLOGY,closed,245,2,30,10,3,128,4
IEEE CLOUD COMPUTING,closed,25,0,0,0,0,6,0
CRITICAL SOCIOLOGY,closed,377,20,288,8,5,287,10
LECTURE NOTES IN MATHEMATICS,closed,1347,1,0,0,0,4,1
COMMUNICATION AND CRITICAL-CULTURAL STUDIES,closed,177,2,10,4,0,94,5
GEOMATICS NATURAL HAZARDS & RISK,closed,89,0,2,0,1,5,1
INTERNATIONAL JOURNAL OF PEST MANAGEMENT,closed,271,1,15,1,0,33,2
INFANCY,closed,177,6,62,9,2,124,2
EUROPEAN POLYMER JOURNAL,closed,2654,5,30,10,0,127,6
EUROPEAN JOURNAL OF APPLIED PHYSIOLOGY,closed,1487,63,356,71,2,936,8
NATURAL HAZARDS,closed,3074,137,113,53,62,466,23
ARCHIVES OF CARDIOVASCULAR DISEASES,closed,155,0,6,1,1,39,0
PALAEONTOGRAPHICA ABTEILUNG A-PALAOZOOLOGIE-STRATIGRAPHIE,closed,17,1,2,0,0,4,11
CIRP ANNALS-MANUFACTURING TECHNOLOGY,closed,936,0,5,2,1,34,3
NUTRITION REVIEWS,closed,336,85,153,91,19,285,26
INFECTION GENETICS AND EVOLUTION,closed,2046,38,120,31,51,1201,38
INTERNATIONAL JOURNAL OF THE PLATONIC TRADITION,closed,19,2,1,0,0,3,0
HUMAN GENE THERAPY CLINICAL DEVELOPMENT,closed,64,2,4,6,3,32,1
CLINICAL NURSE SPECIALIST,closed,236,0,135,2,1,199,1
JOURNAL OF THE SOCIETY FOR AMERICAN MUSIC,closed,91,4,5,3,1,18,0
LETTERS IN ORGANIC CHEMISTRY,closed,735,0,1,2,0,11,0
INTEGRAL EQUATIONS AND OPERATOR THEORY,closed,280,0,1,0,0,3,1
MAMMAL REVIEW,closed,116,13,49,28,2,93,14
JOURNAL OF GLOBAL ANTIMICROBIAL RESISTANCE,closed,478,6,18,2,1,270,0
JOURNAL OF IMPERIAL AND COMMONWEALTH HISTORY,closed,228,5,7,5,1,81,10
WORLD JOURNAL OF UROLOGY,closed,1344,16,50,30,23,423,7
LEGISLATIVE STUDIES QUARTERLY,closed,153,28,8,21,2,93,3
JOURNAL OF RHEUMATOLOGY,closed,1532,10,157,84,53,704,9
EUROPEAN JOURNAL OF INDUSTRIAL RELATIONS,closed,123,2,7,3,24,81,2
NIPPON SUISAN GAKKAISHI,closed,8,0,0,0,0,2,0
Annual Review of Nuclear and Particle Science,closed,46,1,2,2,0,11,1
OPHTHALMIC PLASTIC AND RECONSTRUCTIVE SURGERY,closed,1113,2,303,5,0,323,11
EUROPEAN JOURNAL OF CLINICAL INVESTIGATION,closed,702,15,47,15,9,252,12
ECONOMIC JOURNAL,closed,249,63,17,32,33,217,21
CELL HOST & MICROBE,closed,197,78,67,76,1,195,2
JOURNAL OF CROHNS & COLITIS,closed,132,6,9,4,5,74,1
ASIA PACIFIC EDUCATION REVIEW,closed,328,1,161,2,3,227,0
VADOSE ZONE JOURNAL,closed,511,0,5,4,1,95,2
SOCIOLOGICAL QUARTERLY,closed,198,28,17,13,7,117,4
IEEE TRANSACTIONS ON IMAGE PROCESSING,closed,2187,4,6,5,0,96,8
JOURNAL DE RADIOLOGIE DIAGNOSTIQUE ET INTERVENTIONNELLE,closed,222,1,0,1,0,1,0
JOURNAL OF ANGLICAN STUDIES,closed,57,0,0,1,0,6,0
JOURNAL OF PSYCHOLOGISTS AND COUNSELLORS IN SCHOOLS,closed,53,0,2,1,1,3,0
JOURNAL OF COMMUNICATION DISORDERS,closed,214,3,21,4,4,109,5
DYNAMICAL SYSTEMS-AN INTERNATIONAL JOURNAL,closed,143,0,2,0,0,2,0
JOURNAL OF CLINICAL PSYCHIATRY,closed,872,111,463,162,41,701,37
REQUIREMENTS ENGINEERING,closed,101,0,1,0,0,44,1
REVUE D HISTOIRE LITTERAIRE DE LA FRANCE,closed,207,0,0,0,0,0,1
PEPTIDES,closed,1230,13,37,8,1,295,11
MATHEMATICAL PROGRAMMING,closed,385,0,3,1,0,46,2
PEDIATRIC BLOOD & CANCER,closed,2090,29,172,74,25,1361,19
FEMS YEAST RESEARCH,closed,95,0,15,1,0,64,0
DISEASES OF AQUATIC ORGANISMS,closed,510,5,19,5,3,185,5
EUROPEAN JOURNAL OF HORTICULTURAL SCIENCE,closed,128,0,101,0,0,6,0
LINEAR ALGEBRA AND ITS APPLICATIONS,closed,1544,2,4,1,0,18,10
CURRENT OPINION IN PLANT BIOLOGY,closed,584,38,116,9,1,369,17
ASIA-PACIFIC JOURNAL OF PUBLIC HEALTH,closed,744,7,37,12,28,229,8
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,closed,11520,121,305,141,16,3737,113
SCIENCE-FICTION STUDIES,closed,19,0,0,0,0,4,1
PHYSIOTHERAPY CANADA,closed,59,1,8,1,0,22,0
NOTARZT,closed,175,0,2,1,0,3,0
GENES & GENOMICS,closed,719,1,5,1,0,224,2
IEEE TRANSACTIONS ON CONTROL SYSTEMS TECHNOLOGY,closed,1177,4,5,3,1,19,2
JOURNAL OF CLINICAL HYPERTENSION,closed,252,3,22,14,7,108,3
CANADIAN JOURNAL OF ANIMAL SCIENCE,closed,278,0,13,4,0,15,0
ENERGY SOURCES PART B-ECONOMICS PLANNING AND POLICY,closed,514,0,6,1,3,33,10
NINETEENTH-CENTURY MUSIC REVIEW,closed,74,0,0,0,0,7,0
JOURNAL OF DIGITAL IMAGING,closed,128,0,5,11,0,107,1
ENERGY RESEARCH & SOCIAL SCIENCE,closed,249,9,14,9,8,222,1
PSYCHIATRIA DANUBINA,closed,12,0,1,0,0,3,0
STOCHASTIC PROCESSES AND THEIR APPLICATIONS,closed,201,0,0,0,0,6,0
FRONTIERS OF PHYSICS,closed,380,4,4,0,0,29,4
PHARMACEUTICAL CHEMISTRY JOURNAL,closed,1182,5,4,1,1,10,4
REVIEW OF WORLD ECONOMICS,closed,110,0,3,1,7,17,0
CRITICAL REVIEWS IN ANALYTICAL CHEMISTRY,closed,186,1,3,1,0,26,0
JOURNAL OF MORAL EDUCATION,closed,193,3,92,4,0,56,1
JOURNAL OF SOCIAL POLICY,closed,119,11,4,9,5,62,1
JOURNAL OF PERSONALITY,closed,320,48,65,43,1,217,12
SCIENCE AND TECHNOLOGY OF WELDING AND JOINING,closed,587,0,3,0,0,7,2
JOURNAL OF ELECTROMAGNETIC WAVES AND APPLICATIONS,closed,1366,0,1,1,1,9,0
AQUACULTURE NUTRITION,closed,750,10,10,1,2,167,0
JAPANESE PSYCHOLOGICAL RESEARCH,closed,67,1,4,2,0,32,3
ACM TRANSACTIONS ON PRIVACY AND SECURITY,closed,32,0,0,0,0,5,1
MINDFULNESS,closed,523,56,212,41,9,320,5
STRUCTURAL ENGINEERING INTERNATIONAL,closed,402,0,0,1,1,6,0
JOURNAL OF DUAL DIAGNOSIS,closed,140,1,10,4,5,59,0
PHILOSOPHY OF SCIENCE,closed,255,8,20,3,0,85,7
SOCIAL PSYCHIATRY AND PSYCHIATRIC EPIDEMIOLOGY,closed,821,78,53,59,66,519,10
JOURNAL OF THE HISTORY OF MEDICINE AND ALLIED SCIENCES,closed,95,41,11,1,0,60,3
DEMENTIA-INTERNATIONAL JOURNAL OF SOCIAL RESEARCH AND PRACTICE,closed,331,10,52,31,23,276,1
BONE & JOINT JOURNAL,closed,1262,11,566,41,32,960,13
INDIAN JOURNAL OF FISHERIES,closed,10,0,0,0,0,0,0
PEPTIDE SCIENCE,closed,41,0,2,0,0,19,0
CURRENT PHARMACEUTICAL ANALYSIS,closed,303,0,0,1,0,3,0
ASIA-PACIFIC PSYCHIATRY,closed,272,8,15,12,6,99,3
VASCULAR AND ENDOVASCULAR SURGERY,closed,659,3,25,16,6,99,4
EUROPEAN JOURNAL OF LIPID SCIENCE AND TECHNOLOGY,closed,1230,6,57,66,2,142,5
EUROPEAN EATING DISORDERS REVIEW,closed,402,18,106,17,6,330,6
PRESLIA,closed,1,0,0,0,0,0,0
JOURNAL OF GLOBAL INFORMATION MANAGEMENT,closed,137,0,2,0,0,11,1
GAMES AND CULTURE,closed,182,10,28,8,2,161,14
JOURNAL OF APPLIED DEVELOPMENTAL PSYCHOLOGY,closed,244,20,22,22,8,110,4
AMERICAN JOURNAL OF ENOLOGY AND VITICULTURE,closed,328,1,0,2,1,5,0
ISRAEL JOURNAL OF MATHEMATICS,closed,406,0,1,0,0,4,1
CANADIAN JOURNAL OF EARTH SCIENCES,closed,387,17,264,8,3,216,45
JOURNAL OF THE INDIAN INSTITUTE OF SCIENCE,closed,50,0,0,0,0,6,0
COMMUNICATION METHODS AND MEASURES,closed,3,0,1,0,0,2,0
OPHTHALMIC EPIDEMIOLOGY,closed,299,4,22,7,12,55,0
JOURNAL OF THE FRANKLIN INSTITUTE-ENGINEERING AND APPLIED MATHEMATICS,closed,2071,0,3,0,0,10,0
NEW ASTRONOMY,closed,392,5,5,2,0,86,6
ENDOCRINE RESEARCH,closed,229,0,10,1,0,74,0
ANNALS OF FUNCTIONAL ANALYSIS,closed,204,0,0,0,0,1,0
KINETIC AND RELATED MODELS,closed,3,0,0,0,0,0,0
HORTTECHNOLOGY,closed,248,2,5,14,0,32,1
ANNALES ZOOLOGICI,closed,309,2,33,1,0,66,30
JOURNAL OF EXOTIC PET MEDICINE,closed,297,1,32,1,1,60,2
JOURNAL OF INORGANIC MATERIALS,closed,1084,0,0,0,0,0,1
INTERNATIONAL JOURNAL OF CIRCUIT THEORY AND APPLICATIONS,closed,770,2,5,0,0,7,3
CLINICAL AND EXPERIMENTAL OPTOMETRY,closed,268,1,45,7,4,97,6
TISSUE ENGINEERING PART A,closed,647,15,37,28,0,397,1
JOURNAL OF THE AMERICAN ASSOCIATION OF NURSE PRACTITIONERS,closed,452,9,46,20,8,292,6
ACTA OECONOMICA,closed,145,1,0,0,3,3,0
SOCIOLOGY OF SPORT JOURNAL,closed,151,2,6,2,0,18,0
INZINERINE EKONOMIKA-ENGINEERING ECONOMICS,closed,268,0,0,0,0,1,0
JOURNAL OF NEURO-OPHTHALMOLOGY,closed,380,4,56,14,3,282,2
ARCHIVES OF MICROBIOLOGY,closed,723,33,6,4,0,291,33
MONIST,closed,153,2,5,0,0,28,3
TIERAERZTLICHE PRAXIS AUSGABE GROSSTIERE NUTZTIERE,closed,183,0,15,0,0,19,0
SPECULUM-A JOURNAL OF MEDIEVAL STUDIES,closed,137,11,7,1,0,30,5
MODERN PATHOLOGY,closed,168,0,80,7,0,156,3
CAMBRIDGE JOURNAL OF REGIONS ECONOMY AND SOCIETY,closed,146,7,10,6,10,73,3
JOURNAL OF ELECTROSTATICS,closed,689,0,11,1,0,99,2
BIOMEDICAL MATERIALS,closed,635,11,17,19,0,141,2
SCIENCE AND ENGINEERING ETHICS,closed,425,57,51,20,15,238,18
NORTH AMERICAN JOURNAL OF AQUACULTURE,closed,400,1,6,0,0,16,2
FAMILY & COMMUNITY HEALTH,closed,168,3,120,2,4,147,0
SPORT HISTORY REVIEW,closed,60,0,1,0,0,6,0
REVIEW OF ECONOMIC DESIGN,closed,67,0,1,0,0,4,0
OPERATIONS RESEARCH LETTERS,closed,632,0,0,1,0,51,0
APPLIED OPTICS,closed,8706,16,105,54,0,364,20
JOURNAL OF THE AMERICAN GERIATRICS SOCIETY,closed,1149,98,432,311,59,917,15
BLOOD COAGULATION & FIBRINOLYSIS,closed,1023,6,32,2,7,804,6
COMPUTERS IN HUMAN BEHAVIOR,closed,3431,287,366,370,94,2002,90
JOURNAL OF SEMANTICS,closed,107,0,7,0,0,25,0
NARRATIVE INQUIRY,closed,131,0,0,0,0,7,1
PUBLICATIONS OF THE ASTRONOMICAL SOCIETY OF AUSTRALIA,closed,14,0,0,0,0,5,1
EUROPEAN JOURNAL OF AGRONOMY,closed,742,19,42,20,13,119,4
INTERNATIONAL JOURNAL OF PHARMACEUTICS,closed,4959,33,183,46,13,972,25
RADIOGRAPHICS,closed,510,10,253,14,6,379,10
PSYCHOPHARMACOLOGY,closed,1342,58,101,58,14,587,25
ETUDES PHILOSOPHIQUES,closed,87,0,0,0,0,0,0
ENDOSKOPIE HEUTE,closed,142,0,0,0,2,0,0
JOURNAL OF MICROBIOLOGICAL METHODS,closed,1500,63,41,10,16,663,8
DEVELOPMENTAL AND COMPARATIVE IMMUNOLOGY,closed,1414,13,27,2,0,677,10
PROGRESS IN NUCLEAR ENERGY,closed,1313,1,8,5,5,65,3
SOIL DYNAMICS AND EARTHQUAKE ENGINEERING,closed,1557,1,8,1,7,30,4
TROPICAL PLANT PATHOLOGY,closed,233,1,4,21,0,104,0
AYER,closed,1,0,0,0,0,0,0
CLINICAL PHARMACOLOGY IN DRUG DEVELOPMENT,closed,294,3,51,2,0,31,5
INTERNATIONAL MATHEMATICS RESEARCH NOTICES,closed,395,2,1,0,0,5,1
ORGANIZATION & ENVIRONMENT,closed,125,9,12,6,1,66,2
JOURNAL OF SOCIAL PSYCHOLOGY,closed,328,25,22,31,2,170,12
BLOOD CELLS MOLECULES AND DISEASES,closed,464,3,14,3,3,114,5
