journal,items,total,blogs,facebook,news,policies,twitter,wikipedia
CARPATHIAN JOURNAL OF EARTH AND ENVIRONMENTAL SCIENCES,51,0,0,0,0,0,0,0
PEPTIDE SCIENCE,52,23,0,2,0,0,23,0
DEMENTIA-INTERNATIONAL JOURNAL OF SOCIAL RESEARCH AND PRACTICE,436,375,12,66,42,29,368,2
JOURNAL OF THE HISTORY OF MEDICINE AND ALLIED SCIENCES,126,101,57,16,3,0,87,6
PHILOSOPHY OF SCIENCE,473,181,17,46,5,2,149,15
JOURNAL OF DUAL DIAGNOSIS,217,110,3,23,5,8,102,0
STRUCTURAL ENGINEERING INTERNATIONAL,422,11,0,0,1,1,9,0
MINDFULNESS,697,549,77,325,61,9,451,10
SOCIAL PSYCHIATRY AND PSYCHIATRIC EPIDEMIOLOGY,1178,852,130,104,121,101,794,22
INDIAN JOURNAL OF FISHERIES,280,3,0,1,1,0,0,1
GEOFIZIKA,52,1,0,0,0,0,1,0
BONE & JOINT JOURNAL,1574,1202,13,624,53,42,1148,14
EUROPEAN JOURNAL OF LIPID SCIENCE AND TECHNOLOGY,1320,270,8,67,75,3,161,5
CURRENT PHARMACEUTICAL ANALYSIS,311,4,0,0,1,0,3,0
VASCULAR AND ENDOVASCULAR SURGERY,681,137,3,25,17,7,102,5
ASIA-PACIFIC PSYCHIATRY,317,121,8,15,12,6,113,3
EUROPEAN EATING DISORDERS REVIEW,514,435,28,135,24,6,421,7
PLANT GENOME,300,226,8,15,8,1,225,6
PRESLIA,28,0,0,0,0,0,0,0
GAMES AND CULTURE,208,187,12,33,8,2,183,17
JOURNAL OF THE FRANKLIN INSTITUTE-ENGINEERING AND APPLIED MATHEMATICS,2155,22,0,5,2,0,17,1
JOURNAL OF APPLIED DEVELOPMENTAL PSYCHOLOGY,314,157,22,26,23,13,142,5
ENDOCRINE RESEARCH,245,84,0,11,2,0,81,0
NEW ASTRONOMY,697,339,62,32,9,0,318,16
OPHTHALMIC EPIDEMIOLOGY,411,144,5,30,10,29,103,0
AMERICAN JOURNAL OF ENOLOGY AND VITICULTURE,404,17,1,2,3,1,10,0
ANNALS OF FUNCTIONAL ANALYSIS,308,36,0,3,0,0,36,0
JOURNAL OF GLOBAL INFORMATION MANAGEMENT,139,15,0,2,0,0,12,1
JOURNAL OF THE INDIAN INSTITUTE OF SCIENCE,59,11,0,0,0,0,11,0
FIRE AND MATERIALS,462,69,4,10,4,0,62,1
DISCOURSE & COMMUNICATION,173,94,20,19,5,0,77,3
JOURNAL OF MAGNETISM AND MAGNETIC MATERIALS,7066,654,15,65,26,1,573,17
JOURNAL OF FOOD SCIENCE,2572,1103,87,210,234,8,918,41
CHINA ECONOMIC REVIEW,620,90,10,6,14,19,58,5
BIOSCIENCE REPORTS,1316,681,15,187,17,1,638,23
BMC MEDICAL GENOMICS,640,478,48,71,33,0,462,15
CLAYS AND CLAY MINERALS,283,15,1,5,1,0,10,1
MICROBIAL CELL FACTORIES,1307,634,49,53,29,2,580,31
SENSORS,14418,4562,60,581,153,24,4356,77
OPTICA APPLICATA,437,1,0,1,0,0,1,0
REGIONAL SCIENCE AND URBAN ECONOMICS,543,236,20,9,20,45,200,6
EXCEPTIONALITY,111,17,0,5,0,1,14,0
INTERNATIONAL JOURNAL OF HEMATOLOGY,1304,406,7,37,15,16,357,12
MUTATION RESEARCH-REVIEWS IN MUTATION RESEARCH,231,115,5,11,6,3,106,7
ARCHAEOLOGIES-JOURNAL OF THE WORLD ARCHAEOLOGICAL CONGRESS,130,36,1,7,2,0,31,1
CLINICAL AND EXPERIMENTAL MEDICINE,369,113,1,14,5,1,100,2
JOURNAL OF TRAUMA NURSING,260,244,4,162,10,5,234,0
IEEE LATIN AMERICA TRANSACTIONS,1800,56,1,8,2,0,48,1
HISTOLOGY AND HISTOPATHOLOGY,384,113,1,7,4,0,110,4
ANGLE ORTHODONTIST,937,242,39,96,6,1,156,3
WIND AND STRUCTURES,355,0,0,0,0,0,0,0
JOURNAL OF BIOMEDICAL SEMANTICS,305,257,15,18,9,0,256,10
BMC VETERINARY RESEARCH,2229,1615,79,297,42,16,1561,36
CANADIAN FIELD-NATURALIST,48,0,0,0,0,0,0,0
PHYSICA STATUS SOLIDI B-BASIC SOLID STATE PHYSICS,2471,314,12,13,98,0,203,13
CLINICAL EEG AND NEUROSCIENCE,305,195,3,101,7,0,167,1
JOURNAL OF DENTISTRY,1229,534,104,70,21,7,463,21
ICES JOURNAL OF MARINE SCIENCE,1512,1074,152,166,74,109,964,27
FLUID DYNAMICS RESEARCH,500,83,0,4,0,0,80,3
BIOCONJUGATE CHEMISTRY,2064,933,31,357,37,0,847,22
PREVENTING CHRONIC DISEASE,1216,1065,134,469,265,121,1019,23
SHOCK AND VIBRATION,1936,15,0,1,0,0,14,2
MARINE ECOLOGY PROGRESS SERIES,3299,1477,237,563,131,110,1239,57
DIVING AND HYPERBARIC MEDICINE,41,4,0,2,0,0,3,0
ARABIC SCIENCES AND PHILOSOPHY,65,19,0,6,0,0,14,1
LEGAL STUDIES,128,71,6,9,4,2,68,3
NATURE CHEMICAL BIOLOGY,985,968,266,589,525,9,955,109
CLINICS IN DERMATOLOGY,590,280,12,37,18,4,253,29
JOURNAL OF NANOPARTICLE RESEARCH,3719,255,22,50,26,20,188,15
TECHNOLOGY AND CULTURE,213,102,5,2,2,1,99,4
JOURNAL OF NEUROCHEMISTRY,2254,1292,65,390,224,7,1119,44
HISTORICAL BIOLOGY,502,349,30,70,38,0,250,193
CULTURAL STUDIES,304,155,6,19,2,4,144,10
JOURNAL OF SHELLFISH RESEARCH,647,182,14,33,7,5,147,2
NOTA LEPIDOPTEROLOGICA,14,14,2,14,1,0,13,4
ARCHIVES OF MEDICAL SCIENCE,1113,578,15,417,22,10,535,7
DEVELOPMENT,3010,2610,1020,1163,177,5,2545,113
RECHERCHES DE THEOLOGIE ET PHILOSOPHIE MEDIEVALES,81,0,0,0,0,0,0,0
CURRENT PROTEIN & PEPTIDE SCIENCE,506,106,6,11,12,1,88,10
JOURNAL OF FISH DISEASES,1007,450,19,49,24,6,415,10
HONG KONG JOURNAL OF OCCUPATIONAL THERAPY,84,38,0,5,0,3,33,0
JOURNAL OF ETHNIC AND MIGRATION STUDIES,817,538,61,324,40,28,504,13
EXPERIMENTAL NEUROLOGY,1792,916,74,129,124,10,822,28
POPULATION RESEARCH AND POLICY REVIEW,267,194,20,66,27,14,180,2
FRACTIONAL CALCULUS AND APPLIED ANALYSIS,474,44,0,4,0,0,41,3
Annual Review of Genetics,187,159,22,21,9,4,152,18
JOURNAL OF GENE MEDICINE,281,90,3,10,25,1,78,3
PUBLIC ADMINISTRATION,418,324,62,19,8,23,302,4
ARCHIVES OF ENVIRONMENTAL & OCCUPATIONAL HEALTH,265,89,3,15,8,13,73,3
Advances in Protein Chemistry and Structural Biology,223,88,2,9,4,0,83,6
NONLINEAR DYNAMICS,4485,144,5,30,4,0,107,8
QUANTUM INFORMATION & COMPUTATION,1,0,0,0,0,0,0,0
EUROPEAN ANNALS OF OTORHINOLARYNGOLOGY-HEAD AND NECK DISEASES,471,112,0,18,8,5,95,4
SCIENCE & JUSTICE,394,246,8,34,17,3,236,3
BULLETIN OF MATERIALS SCIENCE,1399,6,1,0,0,0,5,0
FINANCE AND STOCHASTICS,212,22,0,4,0,0,21,0
ESTUDIOS ATACAMENOS,81,10,0,3,0,0,7,1
CHINESE MEDICAL JOURNAL,3853,503,12,39,33,13,461,4
FOODS,53,33,0,0,2,0,31,0
REVUE D HISTOIRE ECCLESIASTIQUE,147,3,0,0,2,0,1,0
ASIAN JOURNAL OF CRIMINOLOGY,24,24,1,0,1,0,24,0
STUDIES IN HISTORY AND PHILOSOPHY OF SCIENCE,393,190,21,84,7,2,162,12
SURGEON-JOURNAL OF THE ROYAL COLLEGES OF SURGEONS OF EDINBURGH AND IRELAND,376,159,14,28,5,1,142,6
PERSPECTIVES IN PLANT ECOLOGY EVOLUTION AND SYSTEMATICS,292,201,9,34,12,0,187,5
JOURNAL OF PEASANT STUDIES,359,265,35,152,32,44,231,13
INTERNATIONAL JOURNAL OF GENERAL SYSTEMS,321,39,5,6,1,0,35,2
EXPERIMENTAL MECHANICS,916,34,1,2,6,0,23,5
CLIMATIC CHANGE,1961,1796,999,538,278,278,1557,46
PAKISTAN JOURNAL OF ZOOLOGY,618,0,0,0,0,0,0,0
HEPATOBILIARY SURGERY AND NUTRITION,88,39,1,7,4,0,38,0
ACTA PROTOZOOLOGICA,180,7,1,2,1,0,4,2
CHEMISTRY & BIODIVERSITY,1300,323,5,37,11,2,285,10
ANNALS OF PLASTIC SURGERY,2169,1679,9,105,24,16,1659,9
EDUCATIONAL MANAGEMENT ADMINISTRATION & LEADERSHIP,358,175,2,0,2,18,164,0
PUBLIC HEALTH NURSING,455,266,8,24,10,10,257,5
PLANT AND SOIL,2775,1183,94,104,41,21,1079,13
ASIAN PACIFIC JOURNAL OF TROPICAL BIOMEDICINE,84,2,0,0,1,0,1,0
ZEITSCHRIFT FUR SLAWISTIK,182,1,0,1,0,0,0,0
PAPERS IN PALAEONTOLOGY,99,99,14,21,13,0,98,76
NONPROFIT MANAGEMENT & LEADERSHIP,197,96,2,6,15,6,85,0
NEUROPSYCHOLOGICAL REHABILITATION,341,198,14,38,19,7,181,2
NATURE,6122,6116,4808,4608,5143,410,6089,1796
PROTEOMICS CLINICAL APPLICATIONS,528,404,11,37,59,1,393,5
AMERICAN JOURNAL OF PRIMATOLOGY,756,650,77,160,76,10,621,38
POLICE QUARTERLY,132,108,12,9,17,11,101,4
CHINA INFORMATION,95,85,11,74,4,1,79,7
NURSING PHILOSOPHY,177,122,7,17,1,2,116,0
AUSTRALIAN JOURNAL OF ANTHROPOLOGY,154,51,2,11,4,9,38,5
DEVELOPING ECONOMIES,94,81,0,4,0,5,81,1
INTERNATIONAL JOURNAL OF COAL PREPARATION AND UTILIZATION,190,2,0,0,0,0,1,1
MARINE GEOPHYSICAL RESEARCH,188,101,1,1,1,0,99,2
SINTAGMA,22,0,0,0,0,0,0,0
OPEN MATHEMATICS,461,30,1,18,0,0,25,0
MUZIKOLOSKI ZBORNIK,160,2,0,0,0,0,1,1
CEA CRITIC,155,8,0,1,0,0,8,0
CRYSTAL RESEARCH AND TECHNOLOGY,840,101,1,0,3,0,96,2
TRANSPLANT INFECTIOUS DISEASE,996,424,9,31,9,13,395,5
JOURNAL OF STATISTICAL COMPUTATION AND SIMULATION,1325,160,7,6,3,1,143,4
JOURNAL OF PLANKTON RESEARCH,685,481,31,320,12,1,398,10
JOURNAL OF HYDROLOGY,5227,2019,71,121,81,77,1862,27
INFECTIOUS DISEASES,431,199,4,23,4,7,189,4
COLLOIDS AND SURFACES A-PHYSICOCHEMICAL AND ENGINEERING ASPECTS,5487,246,8,39,23,0,191,11
SCIENTIA FORESTALIS,228,0,0,0,0,0,0,0
BULLETIN OF THE CHEMICAL SOCIETY OF ETHIOPIA,355,1,1,0,0,0,0,0
JOURNAL OF THE INSTITUTE OF BREWING,486,70,6,9,5,0,57,7
BARIATRIC NURSING AND SURGICAL PATIENT CARE,26,2,0,0,0,1,1,0
STEM CELL RESEARCH,668,429,48,44,23,1,405,12
ACTA BIOMATERIALIA,3742,1585,84,193,461,5,1298,43
FRONTIERS IN CELLULAR NEUROSCIENCE,2399,1888,71,286,154,1,1832,52
JOURNAL OF ASTRONOMICAL TELESCOPES INSTRUMENTS AND SYSTEMS,139,49,25,2,2,0,47,0
IMAGING SCIENCE JOURNAL,330,5,0,1,0,0,4,0
NEUROCHIRURGIE,428,74,1,10,1,1,67,1
EARLY CHILD DEVELOPMENT AND CARE,193,76,40,10,6,4,44,1
BIOMOLECULAR NMR ASSIGNMENTS,517,110,2,6,5,0,94,5
KOREAN JOURNAL OF METALS AND MATERIALS,865,0,0,0,0,0,0,0
ANIMAL REPRODUCTION,210,0,0,0,0,0,0,0
CRIMINAL BEHAVIOUR AND MENTAL HEALTH,231,218,9,111,10,7,216,1
SEMINARS IN DIALYSIS,610,256,25,49,11,6,234,2
SIMULATION MODELLING PRACTICE AND THEORY,724,84,0,13,0,0,79,3
MULTIMEDIA TOOLS AND APPLICATIONS,5027,258,8,36,7,3,211,15
FOLIA MORPHOLOGICA,525,48,1,13,0,0,34,4
EARTH SCIENCES HISTORY,71,6,0,1,0,1,1,3
MOLECULAR MICROBIOLOGY,2132,1344,55,146,107,8,1242,70
REVIEW OF FINANCIAL STUDIES,680,338,36,18,62,64,266,10
INTERNATIONAL JOURNAL OF HEALTH SERVICES,306,143,23,21,31,9,131,6
JACC-CARDIOVASCULAR INTERVENTIONS,1092,759,42,174,317,39,663,8
Annual Review of Virology,131,93,14,16,5,0,81,13
JOURNAL OF SPACECRAFT AND ROCKETS,969,54,4,8,11,0,37,7
GASTROENTEROLOGY REPORT,65,26,3,2,2,0,24,1
AMERICAN PSYCHOLOGIST,398,272,78,54,62,32,239,27
SCANDINAVIAN JOURNAL OF THE OLD TESTAMENT,122,13,1,0,0,0,9,3
CELL AND TISSUE BANKING,497,89,4,7,3,4,77,2
ENGLISH,115,56,2,2,0,0,54,2
INTERNATIONAL JOURNAL OF ENGINEERING SCIENCE,829,34,1,1,1,0,31,1
ACS MACRO LETTERS,1896,564,37,68,38,1,499,17
BLOOD CANCER JOURNAL,399,291,13,74,30,2,282,12
BIOLOGICAL TRACE ELEMENT RESEARCH,2114,536,19,127,20,12,461,11
INTERNATIONAL JOURNAL OF QUANTUM INFORMATION,587,184,3,17,5,0,176,3
ACTA PHYSICO-CHIMICA SINICA,2051,1,0,0,0,0,1,0
MINERVA MEDICA,95,32,0,8,10,0,27,0
INTERNATIONAL JOURNAL OF NEUROSCIENCE,946,454,17,55,33,4,417,7
SOCIAL SCIENCE INFORMATION SUR LES SCIENCES SOCIALES,201,117,2,5,3,4,112,3
SOLID-STATE ELECTRONICS,1566,83,5,4,4,0,71,1
SCIENCE OF COMPUTER PROGRAMMING,828,288,2,12,0,0,282,12
JOURNAL OF GLACIOLOGY,656,244,51,25,29,14,198,9
NODEA-NONLINEAR DIFFERENTIAL EQUATIONS AND APPLICATIONS,422,34,0,2,0,0,34,0
HITOTSUBASHI JOURNAL OF ECONOMICS,79,0,0,0,0,0,0,0
IZVESTIYA ATMOSPHERIC AND OCEANIC PHYSICS,812,38,5,2,2,1,28,2
IEEE TRANSACTIONS ON INSTRUMENTATION AND MEASUREMENT,2360,73,2,10,6,0,59,1
INTERNATIONAL JOURNAL OF COMPUTER MATHEMATICS,1138,60,0,6,0,2,55,1
JOURNAL OF BURN CARE & RESEARCH,993,862,13,605,17,13,821,7
JOURNAL OF ENVIRONMENTAL PSYCHOLOGY,555,378,89,60,82,36,344,15
ANIMALS,487,407,26,144,52,4,396,19
CURRENT ISSUES IN MOLECULAR BIOLOGY,59,34,0,0,0,0,34,1
JOURNAL OF AEROSOL MEDICINE AND PULMONARY DRUG DELIVERY,320,154,2,23,7,7,147,3
WOMENS HISTORY REVIEW,349,157,12,18,13,0,141,18
NEUROIMAGE,6528,4917,450,749,404,27,4775,148
MAMMALIA,468,92,10,21,7,0,58,20
CRYPTOGAMIE BRYOLOGIE,219,37,1,3,0,1,34,2
IEEE CLOUD COMPUTING,32,8,0,0,0,0,8,0
JOURNAL OF HEAD TRAUMA REHABILITATION,531,516,36,295,53,28,500,4
SAUDI PHARMACEUTICAL JOURNAL,696,187,8,22,9,6,169,8
ANDROLOGY,746,426,20,107,38,17,397,14
JOURNAL OF FISH BIOLOGY,1925,1558,80,931,73,39,1519,71
WASHINGTON QUARTERLY,288,188,17,56,28,19,171,8
JOURNAL OF ADVANCED PROSTHODONTICS,459,40,2,10,1,0,29,2
JOURNAL OF THE SOCIETY OF ARCHIVISTS,9,3,0,0,0,0,2,1
PACIFIC JOURNAL OF MATHEMATICS,891,339,0,11,0,0,335,1
CROATICA CHEMICA ACTA,457,5,0,0,0,0,4,1
NEW GERMAN CRITIQUE,187,26,4,3,0,0,17,4
SEXUAL DEVELOPMENT,242,102,6,12,7,0,92,8
FRONTIERS IN CELLULAR AND INFECTION MICROBIOLOGY,1660,1498,101,150,46,4,1478,29
PALAEONTOGRAPHICA ABTEILUNG A-PALAOZOOLOGIE-STRATIGRAPHIE,19,11,1,2,0,0,4,11
CRITICAL SOCIOLOGY,421,396,24,320,9,7,322,13
GEOMATICS NATURAL HAZARDS & RISK,410,63,1,8,4,2,51,3
ARCHIVES OF CARDIOVASCULAR DISEASES,474,136,4,17,6,8,114,8
EUROPEAN POLYMER JOURNAL,2966,241,9,49,17,0,201,10
COMMUNICATION AND CRITICAL-CULTURAL STUDIES,184,101,2,10,4,0,97,5
JOURNAL OF BEHAVIORAL ADDICTIONS,382,290,24,77,54,12,269,14
INTERNATIONAL JOURNAL OF PEST MANAGEMENT,298,43,1,17,1,0,38,2
NATURAL HAZARDS,3481,763,158,140,67,83,590,30
LECTURE NOTES IN MATHEMATICS,1608,23,3,2,1,0,20,3
EUROPEAN JOURNAL OF APPLIED PHYSIOLOGY,1895,1280,83,462,96,2,1237,14
INFANCY,287,208,12,93,14,2,198,7
AQUACULTURE ENVIRONMENT INTERACTIONS,254,52,5,7,10,8,33,0
INFECTION GENETICS AND EVOLUTION,2473,1542,54,159,42,66,1447,47
NUTRITION REVIEWS,502,444,127,211,138,41,428,41
HUMAN GENE THERAPY CLINICAL DEVELOPMENT,123,68,5,10,9,4,63,1
CIRP ANNALS-MANUFACTURING TECHNOLOGY,1069,69,0,7,4,1,55,6
BURNS & TRAUMA,34,34,4,0,1,0,34,0
INTERNATIONAL JOURNAL OF ANALYTICAL CHEMISTRY,276,57,2,5,4,1,52,0
PLATINUM METALS REVIEW,46,0,0,0,0,0,0,0
INTERNATIONAL JOURNAL OF THE PLATONIC TRADITION,39,8,3,1,0,0,6,0
LETTERS IN ORGANIC CHEMISTRY,753,14,0,1,2,0,11,0
MAMMAL REVIEW,160,138,18,71,41,5,130,18
JOURNAL OF THE SOCIETY FOR AMERICAN MUSIC,101,28,4,6,3,1,21,0
INTEGRAL EQUATIONS AND OPERATOR THEORY,559,63,1,6,0,0,59,1
CLINICAL NURSE SPECIALIST,263,231,1,154,3,2,221,1
EUROPEAN JOURNAL OF INDUSTRIAL RELATIONS,162,115,2,12,3,30,105,4
LEGISLATIVE STUDIES QUARTERLY,163,109,30,8,22,2,101,3
JOURNAL OF GLOBAL ANTIMICROBIAL RESISTANCE,529,310,7,27,3,1,303,0
JOURNAL OF IMPERIAL AND COMMONWEALTH HISTORY,274,123,8,9,6,2,106,16
WORLD JOURNAL OF UROLOGY,1517,546,17,64,40,24,496,7
SOCIOLOGY OF SPORT JOURNAL,184,38,4,7,3,0,30,0
MONIST,204,47,3,9,0,0,42,4
ARCHIVES OF MICROBIOLOGY,814,357,35,10,6,0,325,37
TIERAERZTLICHE PRAXIS AUSGABE GROSSTIERE NUTZTIERE,186,28,0,15,0,0,19,0
JOURNAL OF NEURO-OPHTHALMOLOGY,423,330,6,67,17,3,314,3
ACTA OECONOMICA,273,8,1,1,0,3,5,0
INZINERINE EKONOMIKA-ENGINEERING ECONOMICS,391,2,0,1,0,0,1,0
FAMILY & COMMUNITY HEALTH,233,213,7,167,9,5,202,1
SPORT HISTORY REVIEW,67,9,1,1,1,0,7,0
CAMBRIDGE JOURNAL OF REGIONS ECONOMY AND SOCIETY,204,125,16,14,16,16,115,5
BIOMEDICAL MATERIALS,735,204,13,23,22,0,181,2
JOURNAL OF ELECTROSTATICS,725,125,2,12,3,0,112,4
NORTH AMERICAN JOURNAL OF AQUACULTURE,410,25,1,6,0,0,17,2
SPECULUM-A JOURNAL OF MEDIEVAL STUDIES,158,47,15,9,1,0,41,10
MODERN PATHOLOGY,1190,1068,18,447,239,17,1051,36
SCIENCE AND ENGINEERING ETHICS,572,370,76,90,32,25,339,22
JOURNAL OF THE AMERICAN GERIATRICS SOCIETY,2155,1808,258,774,659,129,1700,22
NARRATIVE INQUIRY,142,8,0,0,0,0,7,1
JOURNAL OF SEMANTICS,124,32,2,7,0,0,29,0
COMPUTERS IN HUMAN BEHAVIOR,3861,2437,332,435,433,115,2301,118
OPERATIONS RESEARCH LETTERS,884,89,1,3,2,0,85,6
PUBLICATIONS OF THE ASTRONOMICAL SOCIETY OF AUSTRALIA,380,298,100,67,13,0,286,9
REVIEW OF ECONOMIC DESIGN,102,6,0,1,0,0,5,0
BLOOD COAGULATION & FIBRINOLYSIS,1078,864,6,34,2,8,853,7
REVISTA ESPANOLA DE SALUD PUBLICA,112,40,1,9,0,1,38,0
APPLIED OPTICS,9794,746,34,142,75,0,625,24
INTERNATIONAL JOURNAL OF PHARMACEUTICS,5614,1394,49,234,73,15,1229,34
EUROPEAN JOURNAL OF AGRONOMY,829,212,21,47,22,19,146,5
PSYCHOPHARMACOLOGY,2453,1223,153,207,140,44,1105,65
RADIOGRAPHICS,874,697,20,412,22,9,640,25
EUROPEAN JOURNAL OF MEDICAL RESEARCH,393,129,4,15,15,0,112,5
ETUDES PHILOSOPHIQUES,89,0,0,0,0,0,0,0
SOIL DYNAMICS AND EARTHQUAKE ENGINEERING,1716,60,1,10,1,9,37,5
PROGRESS IN NUCLEAR ENERGY,1384,91,1,9,6,6,74,7
DEVELOPMENTAL AND COMPARATIVE IMMUNOLOGY,1582,787,16,34,3,1,766,10
TROPICAL PLANT PATHOLOGY,401,124,1,6,21,0,115,3
JOURNAL OF MICROBIOLOGICAL METHODS,1740,823,76,51,12,20,778,9
ENDOSKOPIE HEUTE,145,2,0,0,0,2,0,0
AYER,1,0,0,0,0,0,0,0
CLINICAL PHARMACOLOGY IN DRUG DEVELOPMENT,389,131,9,80,6,0,61,10
ORGANIZATION & ENVIRONMENT,140,80,9,12,6,1,77,3
INTERNATIONAL MATHEMATICS RESEARCH NOTICES,1671,279,11,8,0,0,262,7
BLOOD CELLS MOLECULES AND DISEASES,580,171,8,19,5,3,149,6
EXPERT OPINION ON THERAPEUTIC PATENTS,664,452,5,23,12,1,443,24
JOURNAL OF SOCIAL PSYCHOLOGY,375,217,34,24,36,2,200,13
DRUG SAFETY,631,441,35,80,43,32,419,13
QUALITATIVE HEALTH RESEARCH,1067,776,55,104,46,42,738,8
CANADIAN METALLURGICAL QUARTERLY,385,24,0,2,0,0,22,1
JOURNAL OF PERIANESTHESIA NURSING,365,98,4,17,3,3,86,0
EUROPEAN JOURNAL OF HAEMATOLOGY,1072,503,3,65,26,22,456,11
BURNS,1512,596,32,86,45,26,526,21
INVESTIGACION BIBLIOTECOLOGICA,129,14,2,4,0,0,10,0
POPULAR MUSIC,155,55,0,6,3,1,49,8
JOURNAL OF CONTEMPORARY RELIGION,29,8,0,2,1,0,6,1
ADVANCES IN ATMOSPHERIC SCIENCES,847,346,23,109,105,5,310,7
ISRAEL JOURNAL OF CHEMISTRY,735,85,5,10,5,0,66,5
MISKOLC MATHEMATICAL NOTES,507,8,0,0,0,0,7,1
BOLEMA-MATHEMATICS EDUCATION BULLETIN-BOLETIM DE EDUCACAO MATEMATICA,27,2,0,1,0,0,1,0
AGROECOLOGY AND SUSTAINABLE FOOD SYSTEMS,315,107,20,26,7,14,87,2
TOTAL QUALITY MANAGEMENT & BUSINESS EXCELLENCE,622,69,0,4,0,1,65,2
ELECTRONIC JOURNAL OF STATISTICS,856,168,14,16,1,9,150,3
DIAGNOSTIC MOLECULAR PATHOLOGY,72,43,1,12,0,1,42,0
ANALES DEL SEMINARIO DE HISTORIA DE LA FILOSOFIA,158,8,0,0,0,0,8,0
AQUATIC MAMMALS,341,51,1,24,3,6,6,16
JOURNAL OF DESTINATION MARKETING & MANAGEMENT,299,199,0,15,4,2,195,1
SUCHTTHERAPIE,146,13,0,6,3,0,4,0
EUROPEAN JOURNAL OF NUTRITION,1309,860,127,379,173,26,808,27
CLINICAL AND INVESTIGATIVE MEDICINE,55,2,0,0,0,0,2,0
LION AND THE UNICORN,97,19,0,1,2,0,18,1
FOOT & ANKLE INTERNATIONAL,1337,481,11,161,41,6,433,5
JOURNAL OF VETERINARY DENTISTRY,140,31,2,6,1,0,26,1
PROBUS,68,5,0,1,0,0,4,0
PARASITES & VECTORS,3798,2858,175,481,136,66,2724,80
INTERNATIONAL JOURNAL OF ELECTROCHEMICAL SCIENCE,2478,14,1,5,0,1,6,4
ASIAN JOURNAL OF MATHEMATICS,171,10,0,0,0,0,10,0
ARCHAEOLOGICAL PROSPECTION,177,66,2,21,4,0,60,3
