journal,journal_if,year
EMBO REPORTS,8.383,2018
CANCER RESEARCH,8.378,2018
Astrophysical Journal Letters,8.374,2018
CHEMICAL ENGINEERING JOURNAL,8.355,2018
CANCER TREATMENT REVIEWS,8.332,2018
JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY,8.327,2018
MOLECULAR ASPECTS OF MEDICINE,8.313,2018
ASTROPHYSICAL JOURNAL SUPPLEMENT SERIES,8.311,2018
KIDNEY INTERNATIONAL,8.306,2018
BMC Medicine,8.285,2018
Molecular Neurodegeneration,8.274,2018
npj Quantum Information,8.27,2018
ADVANCES IN COLLOID AND INTERFACE SCIENCE,8.243,2018
CURRENT OPINION IN CELL BIOLOGY,8.233,2018
MOVEMENT DISORDERS,8.222,2018
REMOTE SENSING OF ENVIRONMENT,8.218,2018
Cellular & Molecular Immunology,8.213,2018
Obesity Reviews,8.192,2018
Perspectives on Psychological Science,8.19,2018
PSYCHOLOGICAL METHODS,8.188,2018
BULLETIN OF THE AMERICAN METEOROLOGICAL SOCIETY,8.166,2018
SPACE SCIENCE REVIEWS,8.142,2018
Wiley Interdisciplinary Reviews-Computational Molecular Science,8.127,2018
CELL DEATH AND DIFFERENTIATION,8.086,2018
CURRENT OPINION IN BIOTECHNOLOGY,8.083,2018
Theranostics,8.063,2018
NPG Asia Materials,8.052,2018
ADMINISTRATIVE SCIENCE QUARTERLY,8.024,2018
TRENDS IN PARASITOLOGY,8.02,2018
Applied Materials Today,8.013,2018
NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS,8.002,2018
JAMA Dermatology,7.995,2018
Clinical Gastroenterology and Hepatology,7.958,2018
ENVIRONMENT INTERNATIONAL,7.943,2018
Annual Review of Genomics and Human Genetics,7.914,2018
WATER RESEARCH,7.913,2018
JOURNAL OF CONTROLLED RELEASE,7.901,2018
Blood Cancer Journal,7.895,2018
PERIODONTOLOGY 2000,7.861,2018
FRONTIERS IN NEUROENDOCRINOLOGY,7.852,2018
Journal of Crohns & Colitis,7.827,2018
Gut Microbes,7.823,2018
JOURNAL OF MARKETING,7.821,2018
IEEE TRANSACTIONS ON MEDICAL IMAGING,7.816,2018
Cell Reports,7.815,2018
METABOLIC ENGINEERING,7.808,2018
ChemSusChem,7.804,2018
Redox Biology,7.793,2018
THYROID,7.786,2018
CLADISTICS,7.779,2018
JOURNAL OF OPERATIONS MANAGEMENT,7.776,2018
JOURNAL OF OPERATIONS MANAGEMENT,7.776,2018
PROGRESS IN PHOTOVOLTAICS,7.776,2018
Cochrane Database of Systematic Reviews,7.755,2018
ENVIRONMENTAL HEALTH PERSPECTIVES,7.736,2018
OPHTHALMOLOGY,7.732,2018
ALIMENTARY PHARMACOLOGY & THERAPEUTICS,7.731,2018
JOURNAL OF INTERNATIONAL BUSINESS STUDIES,7.724,2018
JOURNAL OF CATALYSIS,7.723,2018
AUTOIMMUNITY REVIEWS,7.716,2018
Environmental Science-Nano,7.704,2018
Annual Review of Nuclear and Particle Science,7.7,2018
ECOLOGICAL MONOGRAPHS,7.698,2018
CURRENT OPINION IN IMMUNOLOGY,7.667,2018
IEEE Transactions on Sustainable Energy,7.65,2018
JOURNAL OF HAZARDOUS MATERIALS,7.65,2018
RADIOLOGY,7.608,2018
IEEE SIGNAL PROCESSING MAGAZINE,7.602,2018
INTERNATIONAL JOURNAL OF MANAGEMENT REVIEWS,7.6,2018
SPORTS MEDICINE,7.583,2018
Protein & Cell,7.575,2018
HAEMATOLOGICA,7.57,2018
Journal of the National Comprehensive Cancer Network,7.57,2018
RIVISTA DEL NUOVO CIMENTO,7.565,2018
eLife,7.551,2018
Journal of Allergy and Clinical Immunology-In Practice,7.55,2018
JOURNAL OF AUTOIMMUNITY,7.543,2018
Environmental Innovation and Societal Transitions,7.514,2018
Environmental Innovation and Societal Transitions,7.514,2018
CURRENT OPINION IN PLANT BIOLOGY,7.508,2018
IEEE NETWORK,7.503,2018
IEEE TRANSACTIONS ON INDUSTRIAL ELECTRONICS,7.503,2018
JOURNAL OF POWER SOURCES,7.467,2018
CARBON,7.466,2018
Materials Research Letters,7.44,2018
MILBANK QUARTERLY,7.425,2018
MILBANK QUARTERLY,7.425,2018
Eurosurveillance,7.421,2018
ACTA NUMERICA,7.417,2018
Conservation Letters,7.397,2018
IEEE Transactions on Industrial Informatics,7.377,2018
SEMINARS IN IMMUNOLOGY,7.358,2018
Neurology-Neuroimmunology & Neuroinflammation,7.353,2018
Mucosal Immunology,7.352,2018
IEEE Transactions on Systems Man Cybernetics-Systems,7.351,2018
AGING CELL,7.346,2018
2D Materials,7.343,2018
INTERNATIONAL JOURNAL OF EPIDEMIOLOGY,7.339,2018
Journal of Physical Chemistry Letters,7.329,2018
CLINICAL REVIEWS IN ALLERGY & IMMUNOLOGY,7.328,2018
JOURNAL OF NUCLEAR MEDICINE,7.308,2018
NEW PHYTOLOGIST,7.299,2018
ACTA MATERIALIA,7.293,2018
SCHIZOPHRENIA BULLETIN,7.289,2018
SCHIZOPHRENIA BULLETIN,7.289,2018
ULTRASONICS SONOCHEMISTRY,7.279,2018
Clinical & Translational Immunology,7.271,2018
ARCHIVES OF COMPUTATIONAL METHODS IN ENGINEERING,7.242,2018
Advances in Nutrition,7.24,2018
Biofabrication,7.236,2018
BRITISH JOURNAL OF PSYCHIATRY,7.233,2018
BRITISH JOURNAL OF PSYCHIATRY,7.233,2018
GASTROINTESTINAL ENDOSCOPY,7.229,2018
INTERNATIONAL JOURNAL OF INTELLIGENT SYSTEMS,7.229,2018
IEEE TRANSACTIONS ON POWER ELECTRONICS,7.224,2018
SIAM REVIEW,7.224,2018
DIABETES,7.199,2018
ACADEMY OF MANAGEMENT JOURNAL,7.191,2018
Reviews in Aquaculture,7.19,2018
EMERGING INFECTIOUS DISEASES,7.185,2018
EUROPEAN JOURNAL OF NUCLEAR MEDICINE AND MOLECULAR IMAGING,7.182,2018
ENERGY CONVERSION AND MANAGEMENT,7.181,2018
Annual Review of Organizational Psychology and Organizational Behavior,7.179,2018
Alcohol Research-Current Reviews,7.174,2018
Additive Manufacturing,7.173,2018
AMERICAN JOURNAL OF TRANSPLANTATION,7.163,2018
NEUROPSYCHOPHARMACOLOGY,7.16,2018
ENVIRONMENTAL SCIENCE & TECHNOLOGY,7.149,2018
ACS Photonics,7.143,2018
Advanced Optical Materials,7.125,2018
Journal of Supply Chain Management,7.125,2018
DIABETOLOGIA,7.113,2018
JOURNAL OF THE AMERICAN ACADEMY OF DERMATOLOGY,7.102,2018
Methods in Ecology and Evolution,7.099,2018
MAYO CLINIC PROCEEDINGS,7.091,2018
Wiley Interdisciplinary Reviews-Climate Change,7.057,2018
Wiley Interdisciplinary Reviews-Climate Change,7.057,2018
CRITICAL REVIEWS IN BIOTECHNOLOGY,7.054,2018
CURRENT OPINION IN STRUCTURAL BIOLOGY,7.052,2018
Molecular Ecology Resources,7.049,2018
RESOURCES CONSERVATION AND RECYCLING,7.044,2018
BMJ Quality & Safety,7.043,2018
BMJ Quality & Safety,7.043,2018
HYPERTENSION,7.017,2018
JOURNAL OF MEMBRANE SCIENCE,7.015,2018
CARDIOVASCULAR RESEARCH,7.014,2018
CELLULAR AND MOLECULAR LIFE SCIENCES,7.014,2018
MATRIX BIOLOGY,6.986,2018
CRITICAL CARE MEDICINE,6.971,2018
ACS Sustainable Chemistry & Engineering,6.97,2018
Nanoscale,6.97,2018
CRITICAL CARE,6.959,2018
ACS Sensors,6.944,2018
ISPRS JOURNAL OF PHOTOGRAMMETRY AND REMOTE SENSING,6.942,2018
CANADIAN MEDICAL ASSOCIATION JOURNAL,6.938,2018
Environmental Science & Technology Letters,6.934,2018
Advances in Experimental Social Psychology,6.933,2018
NEW ASTRONOMY REVIEWS,6.933,2018
PERSONNEL PSYCHOLOGY,6.93,2018
Brain Stimulation,6.919,2018
CLINICAL CHEMISTRY,6.916,2018
CURRENT OPINION IN MICROBIOLOGY,6.916,2018
LAB ON A CHIP,6.914,2018
Epilepsy Currents,6.909,2018
Nanophotonics,6.908,2018
International Review of Sport and Exercise Psychology,6.905,2018
BIOCHIMICA ET BIOPHYSICA ACTA-REVIEWS ON CANCER,6.887,2018
DRUG DISCOVERY TODAY,6.88,2018
NEUROPATHOLOGY AND APPLIED NEUROBIOLOGY,6.878,2018
EDUCATIONAL PSYCHOLOGY REVIEW,6.866,2018
COMPOSITES PART B-ENGINEERING,6.864,2018
ECONOMIC GEOGRAPHY,6.861,2018
PERSOONIA,6.86,2018
ADDICTION,6.851,2018
ADDICTION,6.851,2018
PLANT BIOTECHNOLOGY JOURNAL,6.84,2018
Virtual and Physical Prototyping,6.825,2018
BULLETIN OF THE WORLD HEALTH ORGANIZATION,6.818,2018
PROGRESS IN AEROSPACE SCIENCES,6.814,2018
IEEE TRANSACTIONS ON POWER SYSTEMS,6.807,2018
NEUROENDOCRINOLOGY,6.804,2018
Seminars in Immunopathology,6.804,2018
NEUROSCIENTIST,6.791,2018
IEEE TRANSACTIONS ON IMAGE PROCESSING,6.79,2018
ALLERGY,6.771,2018
Polymer Reviews,6.766,2018
Cell Chemical Biology,6.762,2018
mBio,6.747,2018
Acta Crystallographica Section B-Structural Science Crystal Engineering and Materials,6.732,2018
BMC BIOLOGY,6.723,2018
European Heart Journal-Cardiovascular Pharmacotherapy,6.723,2018
Topics in Current Chemistry,6.721,2018
BRITISH JOURNAL OF DERMATOLOGY,6.714,2018
CRITICAL REVIEWS IN FOOD SCIENCE AND NUTRITION,6.704,2018
CLINICAL NUCLEAR MEDICINE,6.703,2018
IEEE Journal of Selected Topics in Signal Processing,6.688,2018
EBioMedicine,6.68,2018
EUROPEAN JOURNAL OF CANCER,6.68,2018
BIORESOURCE TECHNOLOGY,6.669,2018
CANCER AND METASTASIS REVIEWS,6.667,2018
FISH AND FISHERIES,6.655,2018
AMERICAN JOURNAL OF KIDNEY DISEASES,6.653,2018
Review of Environmental Economics and Policy,6.649,2018
TRANSPORT REVIEWS,6.648,2018
QUARTERLY REVIEWS OF BIOPHYSICS,6.643,2018
Journal of Materials Chemistry C,6.641,2018
Acta Biomaterialia,6.638,2018
Advances in Nonlinear Analysis,6.636,2018
ONCOGENE,6.634,2018
ARTERIOSCLEROSIS THROMBOSIS AND VASCULAR BIOLOGY,6.618,2018
GENOMICS PROTEOMICS & BIOINFORMATICS,6.597,2018
BIOSCIENCE,6.591,2018
BRITISH JOURNAL OF PHARMACOLOGY,6.583,2018
PROGRESS IN HUMAN GEOGRAPHY,6.576,2018
AMERICAN JOURNAL OF CLINICAL NUTRITION,6.568,2018
Annual Review of Virology,6.566,2018
Science Signaling,6.565,2018
Particle and Fibre Toxicology,6.561,2018
ORGANIC LETTERS,6.555,2018
ORGANIZATIONAL RESEARCH METHODS,6.551,2018
EUROPEAN JOURNAL OF EPIDEMIOLOGY,6.529,2018
