journal,type,items,blogs,facebook,news,policies,twitter,wikipedia
CONFLUENCIA-REVISTA HISPANICA DE CULTURA Y LITERATURA,closed,111,0,0,0,0,3,0
ADVANCES IN ORGANOMETALLIC CHEMISTRY,open,2,0,0,0,0,0,0
EUROPEAN JOURNAL OF INFLAMMATION,open,224,0,0,0,0,29,0
JOURNAL OF WILDLIFE MANAGEMENT,open,142,14,30,10,2,72,6
MICRON,closed,828,1,13,4,3,143,7
APPLIED MATHEMATICS AND COMPUTATION,closed,6394,7,27,4,0,77,6
FAMILIES RELATIONSHIPS AND SOCIETIES,open,66,10,9,2,1,57,0
JOURNAL OF OCCUPATIONAL HEALTH,open,424,2,15,7,14,96,2
EKSPLOATACJA I NIEZAWODNOSC-MAINTENANCE AND RELIABILITY,open,313,0,0,0,1,0,0
CROP BREEDING AND APPLIED BIOTECHNOLOGY,open,379,2,1,2,0,8,1
NEAR EASTERN ARCHAEOLOGY,closed,200,22,7,6,0,18,4
INTERNATIONAL FORUM OF ALLERGY & RHINOLOGY,closed,909,13,172,14,10,648,11
HISPANIA-A JOURNAL DEVOTED TO THE TEACHING OF SPANISH AND PORTUGUESE,closed,266,0,1,0,0,11,2
EASTERN MEDITERRANEAN HEALTH JOURNAL,open,337,0,0,0,4,7,0
ISOKINETICS AND EXERCISE SCIENCE,open,12,0,0,0,0,2,0
COMPUTER AIDED GEOMETRIC DESIGN,open,124,0,0,0,0,24,2
MATHEMATICAL POPULATION STUDIES,closed,80,0,1,0,0,5,0
PEDIATRIC EXERCISE SCIENCE,closed,324,4,27,9,5,104,1
CINEMA JOURNAL,open,14,0,0,1,0,5,1
RECENT PATENTS ON ANTI-CANCER DRUG DISCOVERY,closed,138,1,0,1,0,20,0
JOURNAL OF GEOGRAPHY IN HIGHER EDUCATION,closed,232,0,16,2,1,100,1
HPB,open,700,4,31,4,24,325,6
HUMAN PATHOLOGY,closed,1852,11,194,14,12,1103,21
JOURNAL OF ARTHROPLASTY,closed,3501,17,139,225,52,1105,19
HAEMOPHILIA,open,276,7,19,12,9,73,2
EUROPEAN JOURNAL OF CRIMINOLOGY,closed,213,8,11,11,13,154,6
WILEY INTERDISCIPLINARY REVIEWS-RNA,open,150,8,30,6,0,137,18
ANNALS OF HEPATOLOGY,closed,255,0,3,1,1,51,1
DELEUZE AND GUATTARI STUDIES,closed,27,0,0,0,0,5,0
GENETICS AND MOLECULAR RESEARCH,closed,125,4,0,0,0,35,0
MOLECULAR MEDICINE,open,551,11,16,27,1,191,14
RHODORA,closed,4,0,0,0,0,0,0
ARCHIVO ESPANOL DE ARQUEOLOGIA,open,105,1,2,2,0,3,1
INTERNATIONAL JOURNAL OF HUMAN GENETICS,closed,25,0,0,0,0,0,0
FEMINIST STUDIES,closed,6,0,6,0,0,4,0
CLINICAL PHARMACOLOGY IN DRUG DEVELOPMENT,open,95,6,29,4,0,30,5
JOURNAL OF MOLECULAR CATALYSIS A-CHEMICAL,open,77,0,2,0,0,1,0
JOURNAL OF THE MATHEMATICAL SOCIETY OF JAPAN,open,323,0,0,0,0,22,1
SEMIGROUP FORUM,closed,338,2,0,0,0,5,1
INTERNATIONAL JOURNAL OF COMMUNICATION SYSTEMS,closed,1396,0,5,0,0,104,5
CLINICAL NEUROPHYSIOLOGY,open,372,6,31,15,0,166,10
REVISTA DE BIOLOGIA MARINA Y OCEANOGRAFIA,closed,1,0,0,0,0,0,0
JOURNAL OF SEX RESEARCH,open,140,23,30,40,8,129,9
CRUSTACEANA,open,29,0,1,0,0,1,1
MATHEMATIKA,closed,69,0,1,0,0,3,0
JOURNAL OF INDIVIDUAL DIFFERENCES,open,15,0,0,1,0,4,1
ALGEBRAIC AND GEOMETRIC TOPOLOGY,closed,48,0,0,0,0,7,0
JOURNAL OF WEB ENGINEERING,open,8,0,0,0,0,0,0
ASTROPHYSICS AND SPACE SCIENCE,open,956,144,62,9,0,781,25
NEUROPATHOLOGY,closed,476,4,42,36,1,230,1
THERAPEUTIC HYPOTHERMIA AND TEMPERATURE MANAGEMENT,closed,116,6,7,4,0,31,0
FRENCH CULTURAL STUDIES,open,28,1,0,0,0,11,0
PLANT SYSTEMATICS AND EVOLUTION,open,110,3,9,0,1,17,8
EUROPEAN SOCIOLOGICAL REVIEW,open,128,37,23,13,9,115,6
FUSION ENGINEERING AND DESIGN,closed,3857,6,8,7,0,42,12
NATURE PROTOCOLS,closed,733,130,130,113,2,631,30
INDIAN JOURNAL OF DERMATOLOGY,open,512,8,46,24,0,177,9
JOURNAL OF NEURAL TRANSMISSION,open,208,8,16,21,0,96,4
ISRAEL JOURNAL OF CHEMISTRY,open,101,0,2,1,0,16,2
SPE PRODUCTION & OPERATIONS,closed,259,0,0,1,1,0,2
INTERPRETATION-A JOURNAL OF SUBSURFACE CHARACTERIZATION,open,42,0,10,0,1,16,1
OCEANOLOGIA,open,291,6,5,3,1,33,0
AUSTRALIAN JOURNAL OF PRIMARY HEALTH,closed,375,2,22,14,57,196,2
GRASS AND FORAGE SCIENCE,closed,430,2,36,1,5,111,1
JOURNAL OF ENDODONTICS,closed,2102,47,120,9,0,803,21
JOURNAL OF PHYSICAL CHEMISTRY LETTERS,open,1251,56,134,72,2,874,34
HISTOPATHOLOGY,closed,1267,5,314,2,15,1110,16
REVISTA BRASILEIRA DE ANESTESIOLOGIA,open,514,0,16,0,1,94,0
JOURNAL OF HOSPITALITY LEISURE SPORT & TOURISM EDUCATION,closed,150,1,4,1,0,29,1
JOURNAL OF PHYSIOLOGY-LONDON,closed,422,13,311,36,0,391,3
JOURNAL OF COGNITIVE PSYCHOTHERAPY,closed,19,0,1,0,0,0,0
JOURNAL OF CRIME & JUSTICE,closed,9,0,1,1,0,9,0
COST EFFECTIVENESS AND RESOURCE ALLOCATION,open,135,44,35,3,6,125,0
JOURNAL OF POLICY MODELING,closed,393,6,15,7,10,79,6
IEEE PERVASIVE COMPUTING,open,21,0,1,0,1,13,1
RELIGIOUS EDUCATION,closed,246,0,2,1,0,27,0
SOUTHEASTERN NATURALIST,open,12,0,1,0,0,3,0
JOURNAL OF INVESTIGATIVE MEDICINE,closed,261,1,31,6,2,91,1
ENTREPRENEURSHIP RESEARCH JOURNAL,closed,88,0,2,0,0,5,0
JOURNAL OF MAMMALOGY,open,817,56,409,71,6,579,98
GYNECOLOGIE OBSTETRIQUE & FERTILITE,closed,560,2,21,4,1,107,0
JOURNAL OF EXPERIMENTAL PSYCHOPATHOLOGY,open,90,0,60,0,0,31,1
STATISTICAL ANALYSIS AND DATA MINING,closed,104,1,6,2,1,54,0
JOM,open,295,0,49,6,1,71,1
ACS SYNTHETIC BIOLOGY,closed,761,87,88,51,8,743,15
OXFORD JOURNAL OF LEGAL STUDIES,open,44,4,5,3,2,34,2
Annual Review of Genomics and Human Genetics,closed,97,16,17,9,4,75,9
NARRATIVE INQUIRY,closed,131,0,0,0,0,7,1
ELECTRONIC JOURNAL OF STATISTICS,closed,4,0,0,0,0,0,0
JOURNAL OF JEWISH STUDIES,open,2,0,0,0,0,0,0
NATURE REVIEWS DRUG DISCOVERY,open,80,30,51,41,3,79,16
NEW YORK HISTORY,open,3,0,0,0,0,0,0
RELATIONS INDUSTRIELLES-INDUSTRIAL RELATIONS,open,163,1,0,1,2,8,1
CHINESE SOCIOLOGICAL REVIEW,closed,89,1,2,3,3,14,2
BIOELECTROCHEMISTRY,open,82,2,3,2,0,25,0
MILLENNIUM-JOURNAL OF INTERNATIONAL STUDIES,open,62,13,21,1,0,47,0
PEDIATRIC NEUROSURGERY,closed,365,1,3,2,0,52,2
PSYCHIATRIC GENETICS,closed,182,6,13,7,2,141,3
PACIFIC ECONOMIC REVIEW,closed,166,0,1,0,0,131,1
ISPRS JOURNAL OF PHOTOGRAMMETRY AND REMOTE SENSING,closed,1009,5,19,10,5,129,3
SYNTHESIS-STUTTGART,open,264,4,7,3,0,43,1
KNEE SURGERY SPORTS TRAUMATOLOGY ARTHROSCOPY,open,328,10,56,12,0,144,4
COMPUTING,closed,345,0,1,0,0,11,0
JOURNAL OF COMMUTATIVE ALGEBRA,open,127,0,0,0,0,12,0
FOSSIL RECORD,closed,3,0,0,0,0,0,2
ACTA BIOCHIMICA POLONICA,open,114,0,0,0,0,29,0
CURRENT ONCOLOGY REPORTS,closed,447,7,28,9,3,198,6
PROTEOMICS,closed,1464,46,56,138,5,1061,18
JOURNAL OF INTELLECTUAL DISABILITY RESEARCH,open,120,10,59,4,3,99,0
CAMBRIDGE QUARTERLY OF HEALTHCARE ETHICS,open,37,5,9,3,3,20,2
KLINIK PSIKOFARMAKOLOJI BULTENI-BULLETIN OF CLINICAL PSYCHOPHARMACOLOGY,closed,148,0,1,0,3,0,0
CHEMOECOLOGY,open,22,2,1,0,0,10,1
ENGLISH IN EDUCATION,open,22,3,1,2,0,12,0
GEOBIOLOGY,open,77,15,8,6,0,57,1
CELL RESEARCH,open,530,68,108,170,2,338,41
INTERNATIONAL JOURNAL OF REFRIGERATION-REVUE INTERNATIONALE DU FROID,closed,1730,1,8,3,0,43,8
MECCANICA,closed,1210,0,2,2,0,20,0
ANNALS OF BOTANY,open,1368,891,403,34,6,809,70
NOVUM TESTAMENTUM,closed,128,3,1,0,0,4,1
JOURNAL OF PHILOSOPHICAL RESEARCH,closed,226,0,0,0,0,4,0
THEATRE SURVEY,open,15,0,1,1,0,7,0
AAPS JOURNAL,closed,243,10,82,21,2,171,4
JOURNAL OF MATHEMATICAL PHYSICS ANALYSIS GEOMETRY,open,16,0,0,0,0,3,0
EUROPEAN JOURNAL OF FUTURES RESEARCH,open,89,2,11,0,0,51,3
JOURNAL OF CARDIOVASCULAR TRANSLATIONAL RESEARCH,open,169,4,7,6,4,63,2
FAMILIES SYSTEMS & HEALTH,closed,224,0,14,2,6,80,0
OTOLARYNGOLOGY-HEAD AND NECK SURGERY,open,240,9,39,17,7,161,9
INTERNATIONAL REVIEW OF LAW AND ECONOMICS,open,80,5,3,2,2,25,2
ANESTHESIOLOGY,closed,773,45,526,92,17,656,15
INTERNATIONAL JOURNAL OF REFRACTORY METALS & HARD MATERIALS,open,59,0,0,0,0,9,0
EUROPEAN PHYSICAL EDUCATION REVIEW,open,40,0,1,0,0,31,0
RENEWABLE AGRICULTURE AND FOOD SYSTEMS,closed,235,15,9,7,6,46,1
ARTMARGINS,closed,104,1,4,0,0,9,2
JOURNAL OF BIOINFORMATICS AND COMPUTATIONAL BIOLOGY,closed,349,6,4,1,0,111,3
PHYTOCHEMISTRY,closed,1491,12,74,14,1,386,32
INTERVIROLOGY,open,238,2,13,1,3,62,7
INTERNATIONAL JOURNAL OF MECHANICAL SCIENCES,closed,2176,1,5,3,0,21,1
EMPIRICAL ECONOMICS,open,329,8,7,1,8,99,3
CONTEMPORARY FAMILY THERAPY,open,17,0,0,0,1,4,0
JOURNAL OF COMMUNITY & APPLIED SOCIAL PSYCHOLOGY,closed,194,21,13,9,3,77,3
BIOPRESERVATION AND BIOBANKING,closed,305,0,10,8,1,101,0
SOFTWARE TESTING VERIFICATION & RELIABILITY,open,33,1,0,0,0,4,0
JOURNAL OF COLD REGIONS ENGINEERING,closed,119,1,1,0,1,11,0
MADERA Y BOSQUES,open,157,1,2,1,0,3,0
CELLULAR AND MOLECULAR BIOLOGY,closed,607,0,1,0,0,1,0
ECOSYSTEM SERVICES,closed,566,22,56,19,56,301,2
ACTA CHROMATOGRAPHICA,closed,200,0,0,0,0,21,0
VETERINARY CLINICS OF NORTH AMERICA-SMALL ANIMAL PRACTICE,closed,497,9,37,3,0,297,23
REVUE NEUROLOGIQUE,closed,633,8,28,26,0,172,17
NEW GERMAN CRITIQUE,closed,180,4,2,0,0,14,4
SOCIOLOGY-THE JOURNAL OF THE BRITISH SOCIOLOGICAL ASSOCIATION,closed,273,25,50,24,14,232,7
ACTA GEOLOGICA SINICA-ENGLISH EDITION,open,9,2,1,0,0,3,5
PTERIDINES,closed,7,0,0,0,0,0,0
NUKLEONIKA,open,309,0,1,0,0,9,1
CLINICAL HEMORHEOLOGY AND MICROCIRCULATION,open,45,0,0,0,0,5,1
ZEITSCHRIFT FUR WIRTSCHAFTSGEOGRAPHIE,closed,37,1,0,0,0,0,0
THALASSAS,closed,79,1,1,0,0,6,0
MOLECULAR DIAGNOSIS & THERAPY,closed,295,3,7,8,6,113,2
METAPHOR AND SYMBOL,closed,87,2,0,3,0,18,0
HORTICULTURA BRASILEIRA,open,624,1,5,0,0,7,0
JOURNAL OF MANUFACTURING SYSTEMS,open,40,0,1,0,0,7,0
MFS-MODERN FICTION STUDIES,open,12,0,0,0,0,1,0
JOURNAL OF PSYCHOEDUCATIONAL ASSESSMENT,open,26,5,1,0,1,10,0
HERNIA,closed,732,4,17,5,4,298,5
COMPLEX ANALYSIS AND OPERATOR THEORY,closed,455,0,0,0,0,3,0
AGRICULTURAL AND FOREST METEOROLOGY,open,310,29,25,16,12,108,1
IEEE ANTENNAS AND WIRELESS PROPAGATION LETTERS,open,348,5,2,4,0,63,1
NUTRITION JOURNAL,open,811,146,428,204,7,712,21
AQUACULTURAL ENGINEERING,closed,299,3,30,2,0,109,0
DOKLADY PHYSICS,closed,903,0,1,0,1,1,1
ARCHIVES OF ORAL BIOLOGY,open,198,1,8,0,1,53,0
JOURNAL OF PHARMACOLOGY AND EXPERIMENTAL THERAPEUTICS,open,1152,38,199,45,4,476,48
IEEE GEOSCIENCE AND REMOTE SENSING LETTERS,closed,2466,1,16,2,3,47,3
AMERICAN JOURNAL OF PHYSICAL ANTHROPOLOGY,closed,1046,155,257,104,1,680,72
EUROPEAN JOURNAL OF CLINICAL PHARMACOLOGY,closed,1013,24,54,33,31,409,12
CHINESE JOURNAL OF OCEANOLOGY AND LIMNOLOGY,open,16,0,1,0,0,2,0
BRITISH JOURNAL OF GUIDANCE & COUNSELLING,open,66,11,3,1,4,41,1
INTERNATIONAL JOURNAL OF BIO-INSPIRED COMPUTATION,closed,213,0,1,0,0,1,0
Annual Review of Vision Science,open,16,1,2,1,0,7,3
INNOVATION-MANAGEMENT POLICY & PRACTICE,open,1,0,0,0,0,0,0
PEDIATRICS INTERNATIONAL,open,85,2,9,1,2,37,1
OPTICAL MATERIALS EXPRESS,open,315,3,14,5,0,74,8
MEMORY & COGNITION,closed,170,11,5,13,0,75,3
JOURNAL D ANALYSE MATHEMATIQUE,open,182,2,0,1,0,22,0
ENVIRONMENTAL RESEARCH LETTERS,open,2582,1102,869,1001,278,2149,88
PARTICUOLOGY,open,26,0,1,0,1,5,0
NEW MEDIA & SOCIETY,closed,670,117,141,101,35,620,40
ASTROBIOLOGY,closed,288,55,31,63,0,232,41
COMPTES RENDUS PHYSIQUE,open,259,11,11,6,1,140,4
JOURNAL OF THE CERAMIC SOCIETY OF JAPAN,closed,17,0,0,0,0,0,0
TRAUMA VIOLENCE & ABUSE,closed,186,20,23,30,48,146,10
PUBLIC HEALTH ETHICS,closed,139,22,25,9,10,94,1
PHILOSOPHICAL EXPLORATIONS,closed,139,1,5,0,0,46,1
GUT PATHOGENS,open,328,33,36,13,1,228,8
JOURNAL OF BIOSCIENCES,open,45,0,1,0,0,7,0
BRQ-BUSINESS RESEARCH QUARTERLY,open,100,1,3,5,0,21,0
LAEKNABLADID,open,59,0,2,0,0,4,0
ANNALES SOCIETATIS GEOLOGORUM POLONIAE,closed,1,0,0,0,0,0,0
LOGOPEDICS PHONIATRICS VOCOLOGY,closed,135,2,9,1,0,89,1
IEEE TRANSACTIONS ON INFORMATION THEORY,open,2236,38,28,7,1,480,15
ANTIOXIDANTS & REDOX SIGNALING,open,930,28,86,40,4,362,27
GOVERNMENT AND OPPOSITION,closed,113,12,17,6,3,91,2
PHARMACOGNOSY MAGAZINE,open,803,5,27,19,0,223,6
TRANSPORTATION RESEARCH RECORD,closed,5959,25,33,45,145,251,19
CLINICAL TRANSPLANTATION,open,155,3,11,7,1,61,1
TISSUE ENGINEERING AND REGENERATIVE MEDICINE,closed,446,0,2,0,0,19,2
ADSORPTION-JOURNAL OF THE INTERNATIONAL ADSORPTION SOCIETY,closed,501,0,0,0,0,25,1
PHYSICAL GEOGRAPHY,closed,193,3,3,2,1,28,0
ACTA MECHANICA,closed,1512,0,4,0,0,11,2
JOURNAL OF LIPID RESEARCH,closed,160,8,11,23,0,156,1
AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK,open,8,0,0,0,1,6,0
JOURNAL OF PLANT PATHOLOGY,closed,53,0,1,0,1,5,0
JOURNAL OF STROKE,closed,1,0,0,0,0,1,0
INTERNATIONAL JOURNAL OF ISLAMIC AND MIDDLE EASTERN FINANCE AND MANAGEMENT,open,4,0,1,0,0,1,0
JOURNAL OF HEALTH PSYCHOLOGY,open,272,19,65,18,6,243,4
FOOD AND BIOPROCESS TECHNOLOGY,open,195,0,1,1,0,10,2
JOURNAL OF YOUTH STUDIES,closed,486,12,36,30,30,279,7
JOURNAL FUR DIE REINE UND ANGEWANDTE MATHEMATIK,open,469,1,2,0,0,46,3
KYBERNETES,closed,684,0,5,0,0,39,2
ARCHIVES OF WOMENS MENTAL HEALTH,closed,372,12,52,27,7,218,4
PARASITOLOGY INTERNATIONAL,open,107,9,6,0,3,69,3
MAGNETIC RESONANCE IN MEDICINE,open,1736,20,37,15,2,540,15
PARTICLE AND FIBRE TOXICOLOGY,open,370,24,34,35,31,277,4
JOURNAL OF COGNITIVE NEUROSCIENCE,open,547,82,74,57,4,423,18
ENZYME AND MICROBIAL TECHNOLOGY,open,59,0,2,0,0,24,1
NUMERICAL METHODS FOR PARTIAL DIFFERENTIAL EQUATIONS,open,119,0,0,0,0,13,0
ACTA DERMATO-VENEREOLOGICA,open,839,11,226,26,14,374,15
IMPLANT DENTISTRY,closed,735,2,33,1,2,198,2
RAMANUJAN JOURNAL,closed,420,1,1,0,0,15,7
JOURNAL OF CULTURAL ECONOMY,open,41,1,2,0,2,33,2
SURFACE AND INTERFACE ANALYSIS,closed,1609,6,3,5,1,33,2
GEOFORUM,open,289,19,39,19,13,182,6
AFRICAN JOURNAL OF MARINE SCIENCE,open,33,2,3,2,1,13,0
SLEEP AND BIOLOGICAL RHYTHMS,open,51,0,7,1,0,24,1
JOURNAL OF SAFETY RESEARCH,open,83,0,7,6,15,35,0
INTERNATIONAL JOURNAL OF PHARMACOLOGY,closed,31,0,0,0,0,0,0
AMERICAN MALACOLOGICAL BULLETIN,open,5,0,0,1,0,2,2
ACTA OECOLOGICA-INTERNATIONAL JOURNAL OF ECOLOGY,open,56,1,7,2,1,22,2
JOURNAL OF IMPERIAL AND COMMONWEALTH HISTORY,open,46,3,2,1,1,25,6
JOURNAL OF THE MUSICAL ARTS IN AFRICA,closed,39,0,0,0,0,6,0
INTERNATIONAL JOURNAL OF UROLOGICAL NURSING,open,2,0,0,0,0,1,0
JOURNAL OF IMMUNOTOXICOLOGY,closed,153,1,8,2,9,50,0
VECTOR-BORNE AND ZOONOTIC DISEASES,open,281,13,59,21,11,197,7
JOURNAL OF APPLIED PHYSICS,open,4363,88,208,71,3,1749,20
ANNALS OF PURE AND APPLIED LOGIC,open,363,2,0,0,0,64,1
POLISH JOURNAL OF PATHOLOGY,open,330,0,1,1,0,24,0
EIGHTEENTH-CENTURY STUDIES,open,11,0,0,0,0,0,0
EXEMPLARIA-A JOURNAL OF THEORY IN MEDIEVAL AND RENAISSANCE STUDIES,closed,8,0,2,0,0,3,1
GERMAN STUDIES REVIEW,open,17,0,1,0,0,4,1
RESOURCES FOR AMERICAN LITERARY STUDY,closed,11,0,0,0,0,0,0
CARBON BALANCE AND MANAGEMENT,open,70,12,11,9,5,62,1
ART BULLETIN,closed,129,0,7,2,0,20,7
INTERNATIONAL JOURNAL OF INFORMATION TECHNOLOGY & DECISION MAKING,open,26,0,0,2,0,4,0
RESEARCH IN MICROBIOLOGY,open,85,3,4,1,0,49,2
BULLETIN OF SYMBOLIC LOGIC,open,37,0,0,0,0,4,1
IRISH EDUCATIONAL STUDIES,open,30,0,1,0,0,15,0
ASIAN BUSINESS & MANAGEMENT,open,10,0,0,0,0,2,0
INTERNATIONAL JOURNAL OF ADVERTISING,closed,251,3,11,9,10,46,2
HORMONE RESEARCH IN PAEDIATRICS,open,207,3,26,7,2,78,6
HUMAN RELATIONS,closed,306,38,33,37,12,275,4
CLINICAL AND EXPERIMENTAL DERMATOLOGY,closed,950,4,74,12,3,378,14
METALLURGICAL AND MATERIALS TRANSACTIONS A-PHYSICAL METALLURGY AND MATERIALS SCIENCE,open,606,2,41,2,1,62,3
INTERNATIONAL ECONOMIC REVIEW,open,223,12,4,9,22,48,2
URBAN DESIGN INTERNATIONAL,open,23,0,0,1,2,13,0
INTERNATIONAL REVIEW OF NEUROBIOLOGY,open,55,6,8,2,0,29,7
ENVIRONMENT AND PLANNING B-PLANNING & DESIGN,open,37,1,0,0,4,12,0
JOURNAL OF CHINESE LINGUISTICS,open,1,0,0,0,0,0,0
COMPLUTUM,closed,20,0,1,0,0,3,0
IEEE TRANSACTIONS ON INSTRUMENTATION AND MEASUREMENT,open,237,2,3,2,0,34,0
EUROPEAN JOURNAL OF PLASTIC SURGERY,open,10,0,6,0,1,9,0
INTERNATIONAL JOURNAL OF ENERGY RESEARCH,open,66,2,8,1,0,11,1
JOURNAL OF PEDIATRIC OPHTHALMOLOGY & STRABISMUS,open,12,1,1,1,1,4,0
REVIEW-LITERATURE AND ARTS OF THE AMERICAS,open,5,0,3,0,0,3,0
